<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPUSD,60,20190401,010000,1.3039000,1.3044000,1.3025000,1.3032000,3648
GBPUSD,60,20190401,020000,1.3031000,1.3036000,1.3016000,1.3019000,29310
GBPUSD,60,20190401,030000,1.3019000,1.3027000,1.3015000,1.3021000,23771
GBPUSD,60,20190401,040000,1.3021000,1.3022000,1.3008000,1.3018000,38223
GBPUSD,60,20190401,050000,1.3018000,1.3029000,1.3014000,1.3022000,37635
GBPUSD,60,20190401,060000,1.3022000,1.3033000,1.3018000,1.3031000,33768
GBPUSD,60,20190401,070000,1.3031000,1.3036000,1.3025000,1.3034000,23990
GBPUSD,60,20190401,080000,1.3035000,1.3044000,1.3031000,1.3043000,33573
GBPUSD,60,20190401,090000,1.3043000,1.3066000,1.3042000,1.3058000,54489
GBPUSD,60,20190401,100000,1.3058000,1.3085000,1.3052000,1.3071000,94092
GBPUSD,60,20190401,110000,1.3071000,1.3078000,1.3056000,1.3064000,125539
GBPUSD,60,20190401,120000,1.3064000,1.3094000,1.3056000,1.3090000,137430
GBPUSD,60,20190401,130000,1.3089000,1.3103000,1.3079000,1.3098000,120212
GBPUSD,60,20190401,140000,1.3097000,1.3108000,1.3084000,1.3104000,114525
GBPUSD,60,20190401,150000,1.3105000,1.3124000,1.3097000,1.3112000,115205
GBPUSD,60,20190401,160000,1.3113000,1.3121000,1.3103000,1.3115000,114845
GBPUSD,60,20190401,170000,1.3115000,1.3123000,1.3107000,1.3112000,117052
GBPUSD,60,20190401,180000,1.3112000,1.3150000,1.3079000,1.3140000,132602
GBPUSD,60,20190401,190000,1.3140000,1.3145000,1.3114000,1.3142000,100678
GBPUSD,60,20190401,200000,1.3142000,1.3146000,1.3114000,1.3119000,48428
GBPUSD,60,20190401,210000,1.3119000,1.3134000,1.3118000,1.3131000,36515
GBPUSD,60,20190401,220000,1.3131000,1.3138000,1.3115000,1.3126000,59233
GBPUSD,60,20190401,230000,1.3126000,1.3131000,1.3109000,1.3117000,53619
