<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GBPAUD,60,20190610,010000,1.8178500,1.8187200,1.8143700,1.8174900,28057
GBPAUD,60,20190610,020000,1.8175900,1.8190900,1.8171500,1.8185900,51979
GBPAUD,60,20190610,030000,1.8186400,1.8192000,1.8180800,1.8185700,52924
GBPAUD,60,20190610,040000,1.8185600,1.8206200,1.8178600,1.8203500,119901
GBPAUD,60,20190610,050000,1.8203200,1.8213100,1.8195500,1.8209600,177611
GBPAUD,60,20190610,060000,1.8210200,1.8230100,1.8203000,1.8223700,108549
GBPAUD,60,20190610,070000,1.8223700,1.8242500,1.8218800,1.8232700,89270
GBPAUD,60,20190610,080000,1.8232300,1.8234900,1.8221000,1.8231500,80319
GBPAUD,60,20190610,090000,1.8231400,1.8237500,1.8224400,1.8229700,83650
GBPAUD,60,20190610,100000,1.8230600,1.8245100,1.8218900,1.8244300,99202
GBPAUD,60,20190610,110000,1.8244300,1.8250100,1.8229700,1.8245800,121361
GBPAUD,60,20190610,120000,1.8245700,1.8267700,1.8209500,1.8213800,154453
GBPAUD,60,20190610,130000,1.8213000,1.8224100,1.8198100,1.8204900,112736
GBPAUD,60,20190610,140000,1.8205700,1.8221700,1.8197700,1.8200800,116681
GBPAUD,60,20190610,150000,1.8202000,1.8207400,1.8176200,1.8182400,123662
GBPAUD,60,20190610,160000,1.8182400,1.8192800,1.8173400,1.8186100,172592
GBPAUD,60,20190610,170000,1.8186300,1.8203200,1.8178100,1.8195900,195481
GBPAUD,60,20190610,180000,1.8196100,1.8218400,1.8186100,1.8211600,212829
GBPAUD,60,20190610,190000,1.8211200,1.8216700,1.8195300,1.8212700,137301
GBPAUD,60,20190610,200000,1.8211200,1.8225200,1.8207000,1.8220500,81910
GBPAUD,60,20190610,210000,1.8220800,1.8236100,1.8212100,1.8232700,93584
GBPAUD,60,20190610,220000,1.8233000,1.8246200,1.8226100,1.8233500,107496
GBPAUD,60,20190610,230000,1.8233500,1.8236300,1.8223800,1.8236000,62189
GBPAUD,60,20190611,000000,1.8236000,1.8238900,1.8201600,1.8218400,36131
GBPAUD,60,20190611,010000,1.8221700,1.8232700,1.8195300,1.8219300,31673
GBPAUD,60,20190611,020000,1.8219300,1.8230400,1.8214600,1.8227000,42132
GBPAUD,60,20190611,030000,1.8226600,1.8237700,1.8220600,1.8230000,59430
GBPAUD,60,20190611,040000,1.8230500,1.8245100,1.8222700,1.8237700,119481
GBPAUD,60,20190611,050000,1.8238900,1.8239300,1.8207800,1.8230500,158283
GBPAUD,60,20190611,060000,1.8231000,1.8234100,1.8212200,1.8216400,96371
GBPAUD,60,20190611,070000,1.8216700,1.8228900,1.8212600,1.8228300,74934
GBPAUD,60,20190611,080000,1.8228100,1.8232700,1.8219500,1.8227400,59583
GBPAUD,60,20190611,090000,1.8227600,1.8249400,1.8225300,1.8235700,77757
GBPAUD,60,20190611,100000,1.8236300,1.8245800,1.8214000,1.8228900,111096
GBPAUD,60,20190611,110000,1.8229100,1.8259700,1.8219300,1.8250600,160650
GBPAUD,60,20190611,120000,1.8251400,1.8278600,1.8237100,1.8271400,154828
GBPAUD,60,20190611,130000,1.8272300,1.8290000,1.8266400,1.8273500,133235
GBPAUD,60,20190611,140000,1.8274600,1.8290400,1.8261300,1.8266700,150851
GBPAUD,60,20190611,150000,1.8267400,1.8271400,1.8248400,1.8259600,129622
GBPAUD,60,20190611,160000,1.8258300,1.8270000,1.8253500,1.8267400,220686
GBPAUD,60,20190611,170000,1.8267600,1.8278600,1.8248500,1.8274700,228565
GBPAUD,60,20190611,180000,1.8275100,1.8293700,1.8269100,1.8286100,267998
GBPAUD,60,20190611,190000,1.8283300,1.8303900,1.8277900,1.8291800,194537
GBPAUD,60,20190611,200000,1.8291100,1.8299500,1.8277700,1.8287600,115936
GBPAUD,60,20190611,210000,1.8288300,1.8289200,1.8264800,1.8275400,111091
GBPAUD,60,20190611,220000,1.8274900,1.8283100,1.8269200,1.8280300,79418
GBPAUD,60,20190611,230000,1.8279600,1.8282900,1.8267400,1.8280800,74274
GBPAUD,60,20190612,000000,1.8280800,1.8282600,1.8263600,1.8267300,24194
GBPAUD,60,20190612,010000,1.8270100,1.8279400,1.8252800,1.8275000,26016
GBPAUD,60,20190612,020000,1.8270700,1.8279800,1.8266800,1.8276400,41593
GBPAUD,60,20190612,030000,1.8277300,1.8281200,1.8269100,1.8278400,63409
GBPAUD,60,20190612,040000,1.8278900,1.8290300,1.8273400,1.8282100,116853
GBPAUD,60,20190612,050000,1.8282400,1.8298300,1.8273000,1.8290700,142083
GBPAUD,60,20190612,060000,1.8292700,1.8302600,1.8287600,1.8295300,98312
GBPAUD,60,20190612,070000,1.8294600,1.8308200,1.8288400,1.8298800,110065
GBPAUD,60,20190612,080000,1.8303000,1.8308700,1.8293200,1.8306800,80272
GBPAUD,60,20190612,090000,1.8306800,1.8321100,1.8302400,1.8313100,104115
GBPAUD,60,20190612,100000,1.8313800,1.8320500,1.8307300,1.8311200,102709
GBPAUD,60,20190612,110000,1.8311900,1.8323100,1.8299600,1.8316100,160319
GBPAUD,60,20190612,120000,1.8316600,1.8338700,1.8308900,1.8334100,152487
GBPAUD,60,20190612,130000,1.8334000,1.8339400,1.8317200,1.8330700,85503
GBPAUD,60,20190612,140000,1.8330100,1.8358200,1.8320600,1.8327800,174027
GBPAUD,60,20190612,150000,1.8327300,1.8340900,1.8306400,1.8338900,148572
GBPAUD,60,20190612,160000,1.8338900,1.8350400,1.8327400,1.8332900,280426
GBPAUD,60,20190612,170000,1.8331700,1.8347700,1.8326300,1.8334900,242296
GBPAUD,60,20190612,180000,1.8334900,1.8341300,1.8299100,1.8313100,275660
GBPAUD,60,20190612,190000,1.8311700,1.8328400,1.8268800,1.8280600,192771
GBPAUD,60,20190612,200000,1.8281500,1.8299700,1.8271600,1.8297800,158725
GBPAUD,60,20190612,210000,1.8297600,1.8311300,1.8291600,1.8309500,92402
GBPAUD,60,20190612,220000,1.8310000,1.8319500,1.8304300,1.8316900,88952
GBPAUD,60,20190612,230000,1.8318200,1.8322600,1.8308200,1.8312800,65809
GBPAUD,60,20190613,000000,1.8313100,1.8319300,1.8299400,1.8299400,25550
GBPAUD,60,20190613,010000,1.8298900,1.8316300,1.8291900,1.8305500,33443
GBPAUD,60,20190613,020000,1.8306200,1.8313700,1.8300400,1.8307900,56774
GBPAUD,60,20190613,030000,1.8310600,1.8316100,1.8303100,1.8315100,68760
GBPAUD,60,20190613,040000,1.8315100,1.8317500,1.8300000,1.8316100,87874
GBPAUD,60,20190613,050000,1.8316500,1.8354300,1.8285700,1.8344100,189716
GBPAUD,60,20190613,060000,1.8344600,1.8368300,1.8338000,1.8357900,195281
GBPAUD,60,20190613,070000,1.8357900,1.8375600,1.8353800,1.8369900,125536
GBPAUD,60,20190613,080000,1.8369600,1.8374200,1.8360000,1.8370600,98234
GBPAUD,60,20190613,090000,1.8370600,1.8378600,1.8351100,1.8357800,83814
GBPAUD,60,20190613,100000,1.8357300,1.8374600,1.8339200,1.8344100,117973
GBPAUD,60,20190613,110000,1.8344600,1.8347200,1.8322500,1.8342100,155063
GBPAUD,60,20190613,120000,1.8342700,1.8346700,1.8327500,1.8343700,121779
GBPAUD,60,20190613,130000,1.8343900,1.8354400,1.8333400,1.8350500,94519
GBPAUD,60,20190613,140000,1.8349900,1.8368400,1.8337600,1.8346300,114673
GBPAUD,60,20190613,150000,1.8345000,1.8362400,1.8335000,1.8345000,115912
GBPAUD,60,20190613,160000,1.8345500,1.8378700,1.8332400,1.8362300,243937
GBPAUD,60,20190613,170000,1.8362300,1.8374200,1.8345000,1.8358900,247559
GBPAUD,60,20190613,180000,1.8359400,1.8370800,1.8343300,1.8352300,215023
GBPAUD,60,20190613,190000,1.8352600,1.8366100,1.8340200,1.8347500,122859
GBPAUD,60,20190613,200000,1.8347300,1.8354300,1.8338400,1.8348100,95802
GBPAUD,60,20190613,210000,1.8348100,1.8353500,1.8335200,1.8340100,84280
GBPAUD,60,20190613,220000,1.8340000,1.8344000,1.8332200,1.8337000,92959
GBPAUD,60,20190613,230000,1.8337500,1.8337500,1.8326100,1.8331600,61689
GBPAUD,60,20190614,000000,1.8332000,1.8335800,1.8317500,1.8317800,24514
GBPAUD,60,20190614,010000,1.8318200,1.8336300,1.8316200,1.8325400,31594
GBPAUD,60,20190614,020000,1.8325900,1.8339400,1.8318900,1.8335100,42926
GBPAUD,60,20190614,030000,1.8336500,1.8346700,1.8326000,1.8344800,65739
GBPAUD,60,20190614,040000,1.8346700,1.8353000,1.8335300,1.8347200,81316
GBPAUD,60,20190614,050000,1.8346600,1.8386000,1.8340100,1.8381900,108452
GBPAUD,60,20190614,060000,1.8380700,1.8387700,1.8365200,1.8379200,104789
GBPAUD,60,20190614,070000,1.8379200,1.8383300,1.8362700,1.8366600,73266
GBPAUD,60,20190614,080000,1.8367300,1.8373400,1.8355300,1.8367800,49929
GBPAUD,60,20190614,090000,1.8368800,1.8375600,1.8352800,1.8373900,61658
GBPAUD,60,20190614,100000,1.8373100,1.8386000,1.8350500,1.8354300,101551
GBPAUD,60,20190614,110000,1.8354900,1.8368300,1.8343400,1.8357500,184143
GBPAUD,60,20190614,120000,1.8357200,1.8369100,1.8340800,1.8357400,143371
GBPAUD,60,20190614,130000,1.8357500,1.8357800,1.8315400,1.8339900,148410
GBPAUD,60,20190614,140000,1.8339300,1.8350800,1.8325400,1.8329100,122309
GBPAUD,60,20190614,150000,1.8329100,1.8329600,1.8306200,1.8317100,123927
GBPAUD,60,20190614,160000,1.8316600,1.8335000,1.8303500,1.8331900,264067
GBPAUD,60,20190614,170000,1.8331900,1.8344400,1.8321000,1.8335200,260406
GBPAUD,60,20190614,180000,1.8334600,1.8349000,1.8322400,1.8325900,261187
GBPAUD,60,20190614,190000,1.8325400,1.8342500,1.8318100,1.8335600,176135
GBPAUD,60,20190614,200000,1.8334900,1.8361900,1.8331000,1.8348400,111490
GBPAUD,60,20190614,210000,1.8348400,1.8353500,1.8341600,1.8345200,98944
GBPAUD,60,20190614,220000,1.8346400,1.8348200,1.8321300,1.8330000,61546
GBPAUD,60,20190614,230000,1.8330000,1.8333100,1.8312400,1.8315600,64732
GBPAUD,60,20190615,000000,1.8314800,1.8326500,1.8296000,1.8313800,42530
GBPAUD,60,20190615,010000,1.8321500,1.8327200,1.8316200,1.8322400,29
