<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,15,20181203,100000,1975.0000000,2000.0000000,1975.0000000,1984.0000000,27541
YNDX,15,20181203,101500,1986.0000000,1997.0000000,1985.0000000,1991.0000000,16046
YNDX,15,20181203,103000,1992.0000000,1994.5000000,1985.5000000,1991.5000000,7445
YNDX,15,20181203,104500,1992.0000000,1995.0000000,1991.5000000,1992.5000000,5869
YNDX,15,20181203,110000,1992.5000000,1998.0000000,1991.5000000,1995.0000000,18589
YNDX,15,20181203,111500,1995.0000000,1997.0000000,1993.0000000,1995.0000000,12185
YNDX,15,20181203,113000,1994.5000000,1995.5000000,1992.5000000,1993.5000000,21827
YNDX,15,20181203,114500,1993.0000000,1995.5000000,1989.5000000,1989.5000000,16669
YNDX,15,20181203,120000,1991.0000000,1997.0000000,1987.5000000,1994.0000000,29748
YNDX,15,20181203,121500,1994.0000000,1994.0000000,1990.0000000,1990.0000000,2472
YNDX,15,20181203,123000,1991.0000000,1995.0000000,1985.5000000,1990.0000000,47190
YNDX,15,20181203,124500,1991.0000000,1992.0000000,1988.0000000,1992.0000000,1817
YNDX,15,20181203,130000,1990.5000000,1992.0000000,1989.0000000,1989.0000000,1391
YNDX,15,20181203,131500,1990.0000000,1992.5000000,1988.0000000,1990.0000000,2331
YNDX,15,20181203,133000,1988.5000000,1992.0000000,1986.5000000,1989.0000000,4613
YNDX,15,20181203,134500,1989.5000000,1994.5000000,1985.0000000,1994.5000000,26178
YNDX,15,20181203,140000,1990.5000000,1996.0000000,1990.0000000,1993.5000000,6571
YNDX,15,20181203,141500,1995.5000000,1996.0000000,1990.5000000,1990.5000000,503
YNDX,15,20181203,143000,1990.5000000,1992.0000000,1988.0000000,1989.5000000,702
YNDX,15,20181203,144500,1991.0000000,1992.0000000,1988.5000000,1991.5000000,2442
YNDX,15,20181203,150000,1990.0000000,1993.5000000,1990.0000000,1991.5000000,2198
YNDX,15,20181203,151500,1991.5000000,1997.5000000,1991.0000000,1995.0000000,5750
YNDX,15,20181203,153000,1995.0000000,1998.0000000,1995.0000000,1998.0000000,5638
YNDX,15,20181203,154500,1998.0000000,1998.5000000,1995.0000000,1995.0000000,2663
YNDX,15,20181203,160000,1995.0000000,1997.5000000,1995.0000000,1995.0000000,1660
YNDX,15,20181203,161500,1995.0000000,2001.5000000,1995.0000000,1998.0000000,15379
YNDX,15,20181203,163000,1998.0000000,2000.0000000,1996.0000000,1997.0000000,3959
YNDX,15,20181203,164500,1998.0000000,2000.0000000,1997.0000000,1997.0000000,1339
YNDX,15,20181203,170000,1997.0000000,2004.5000000,1997.0000000,2002.5000000,8984
YNDX,15,20181203,171500,2002.5000000,2002.5000000,1996.0000000,1999.0000000,3446
YNDX,15,20181203,173000,1999.0000000,2011.0000000,1988.0000000,2011.0000000,33726
YNDX,15,20181203,174500,2011.0000000,2019.5000000,2003.0000000,2006.0000000,27940
YNDX,15,20181203,180000,2008.0000000,2010.0000000,1989.5000000,1990.0000000,15531
YNDX,15,20181203,181500,1990.5000000,2000.5000000,1984.0000000,1986.0000000,19454
YNDX,15,20181203,183000,1985.5000000,1995.0000000,1983.0000000,1995.0000000,6313
YNDX,15,20181203,184500,1989.0000000,1989.0000000,1989.0000000,1989.0000000,1430
YNDX,15,20181204,100000,1990.5000000,1994.0000000,1981.5000000,1982.5000000,5082
YNDX,15,20181204,101500,1982.0000000,1982.5000000,1980.0000000,1980.5000000,2578
YNDX,15,20181204,103000,1982.5000000,1985.0000000,1980.5000000,1982.0000000,1192
YNDX,15,20181204,104500,1982.0000000,1982.0000000,1980.0000000,1981.0000000,2073
YNDX,15,20181204,110000,1983.0000000,1984.0000000,1980.5000000,1982.5000000,1040
YNDX,15,20181204,111500,1982.5000000,1985.0000000,1982.0000000,1983.0000000,477
YNDX,15,20181204,113000,1982.0000000,1985.0000000,1982.0000000,1983.0000000,730
YNDX,15,20181204,114500,1983.0000000,1987.0000000,1983.0000000,1985.0000000,899
YNDX,15,20181204,120000,1987.0000000,1989.0000000,1985.0000000,1987.5000000,893
YNDX,15,20181204,121500,1988.5000000,1989.0000000,1985.0000000,1985.5000000,488
YNDX,15,20181204,123000,1987.5000000,1989.5000000,1981.5000000,1987.0000000,1685
YNDX,15,20181204,124500,1987.0000000,1989.5000000,1987.0000000,1989.5000000,730
YNDX,15,20181204,130000,1989.0000000,1990.5000000,1987.0000000,1989.5000000,1469
YNDX,15,20181204,131500,1988.0000000,1990.0000000,1987.5000000,1990.0000000,582
YNDX,15,20181204,133000,1988.0000000,1991.0000000,1988.0000000,1989.0000000,800
YNDX,15,20181204,134500,1990.5000000,1990.5000000,1988.5000000,1990.0000000,212
YNDX,15,20181204,140000,1990.5000000,1990.5000000,1989.0000000,1989.0000000,111
YNDX,15,20181204,141500,1990.0000000,1991.5000000,1988.0000000,1989.5000000,2464
YNDX,15,20181204,143000,1988.0000000,1989.5000000,1988.0000000,1989.5000000,297
YNDX,15,20181204,144500,1989.5000000,1989.5000000,1987.0000000,1988.5000000,336
YNDX,15,20181204,150000,1987.5000000,1988.5000000,1986.0000000,1988.0000000,330
YNDX,15,20181204,151500,1986.0000000,1988.0000000,1984.5000000,1984.5000000,737
YNDX,15,20181204,153000,1986.5000000,1987.0000000,1984.5000000,1985.5000000,450
YNDX,15,20181204,154500,1985.5000000,1987.0000000,1984.0000000,1985.5000000,2572
YNDX,15,20181204,160000,1985.5000000,1987.5000000,1985.0000000,1987.5000000,2402
YNDX,15,20181204,161500,1986.5000000,1989.5000000,1986.5000000,1987.5000000,1189
YNDX,15,20181204,163000,1989.5000000,1989.5000000,1983.5000000,1984.0000000,3308
YNDX,15,20181204,164500,1985.0000000,1985.5000000,1983.0000000,1985.5000000,898
YNDX,15,20181204,170000,1985.0000000,1985.5000000,1983.5000000,1984.0000000,569
YNDX,15,20181204,171500,1983.5000000,1983.5000000,1980.5000000,1980.5000000,1942
YNDX,15,20181204,173000,1981.5000000,1989.5000000,1981.0000000,1983.5000000,6804
YNDX,15,20181204,174500,1982.5000000,1985.0000000,1968.0000000,1973.0000000,18058
YNDX,15,20181204,180000,1971.5000000,1972.0000000,1955.5000000,1960.5000000,24984
YNDX,15,20181204,181500,1960.0000000,1969.5000000,1954.0000000,1958.5000000,13690
YNDX,15,20181204,183000,1956.5000000,1964.0000000,1955.0000000,1962.0000000,4274
YNDX,15,20181204,184500,1957.5000000,1957.5000000,1957.5000000,1957.5000000,1083
YNDX,15,20181205,100000,1949.0000000,1949.0000000,1921.0000000,1944.0000000,12119
YNDX,15,20181205,101500,1944.0000000,1948.0000000,1939.0000000,1948.0000000,3308
YNDX,15,20181205,103000,1946.5000000,1949.0000000,1944.0000000,1946.0000000,2650
YNDX,15,20181205,104500,1946.0000000,1947.0000000,1943.0000000,1944.0000000,2008
YNDX,15,20181205,110000,1944.0000000,1944.0000000,1935.0000000,1935.0000000,5016
YNDX,15,20181205,111500,1937.5000000,1938.0000000,1932.0000000,1935.0000000,5084
YNDX,15,20181205,113000,1935.0000000,1944.0000000,1932.0000000,1941.5000000,2500
YNDX,15,20181205,114500,1941.5000000,1942.0000000,1936.5000000,1940.0000000,1937
YNDX,15,20181205,120000,1940.5000000,1944.5000000,1940.0000000,1943.0000000,1138
YNDX,15,20181205,121500,1944.0000000,1944.5000000,1941.5000000,1944.0000000,1432
YNDX,15,20181205,123000,1944.0000000,1944.5000000,1941.0000000,1943.5000000,385
YNDX,15,20181205,124500,1943.5000000,1944.0000000,1941.0000000,1943.5000000,797
YNDX,15,20181205,130000,1943.5000000,1944.5000000,1940.5000000,1943.0000000,865
YNDX,15,20181205,131500,1943.0000000,1944.5000000,1940.5000000,1944.5000000,1625
YNDX,15,20181205,133000,1944.5000000,1946.0000000,1942.5000000,1946.0000000,1943
YNDX,15,20181205,134500,1944.5000000,1947.0000000,1944.5000000,1946.0000000,430
YNDX,15,20181205,140000,1945.5000000,1947.5000000,1944.5000000,1946.5000000,855
YNDX,15,20181205,141500,1946.5000000,1947.5000000,1944.5000000,1947.0000000,2536
YNDX,15,20181205,143000,1947.0000000,1949.5000000,1945.0000000,1949.5000000,3038
YNDX,15,20181205,144500,1948.0000000,1949.5000000,1947.0000000,1948.0000000,921
YNDX,15,20181205,150000,1948.0000000,1951.0000000,1947.5000000,1950.0000000,2581
YNDX,15,20181205,151500,1949.5000000,1951.0000000,1949.5000000,1951.0000000,256
YNDX,15,20181205,153000,1951.0000000,1954.5000000,1949.0000000,1951.5000000,1736
YNDX,15,20181205,154500,1953.0000000,1954.5000000,1951.0000000,1954.0000000,1265
YNDX,15,20181205,160000,1954.0000000,1956.0000000,1951.5000000,1956.0000000,876
YNDX,15,20181205,161500,1955.5000000,1956.5000000,1954.0000000,1956.5000000,1602
YNDX,15,20181205,163000,1956.5000000,1959.5000000,1956.0000000,1958.5000000,1840
YNDX,15,20181205,164500,1957.5000000,1959.5000000,1955.5000000,1959.0000000,1201
YNDX,15,20181205,170000,1959.0000000,1959.0000000,1956.5000000,1958.5000000,878
YNDX,15,20181205,171500,1956.5000000,1960.0000000,1956.5000000,1959.5000000,1667
YNDX,15,20181205,173000,1959.5000000,1965.0000000,1958.5000000,1965.0000000,1634
YNDX,15,20181205,174500,1965.0000000,1965.0000000,1959.5000000,1962.5000000,2335
YNDX,15,20181205,180000,1963.5000000,1964.0000000,1953.5000000,1959.0000000,4967
